timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2025-10-28T18:50:41.423,11.778696,27.774443,47.880504,78.050713,113.737723,151.389037,356.715240,368.038415
2025-10-28T18:50:41.428,13.512723,35.884510,62.164131,91.734183,104.443580,137.834285,326.591589,329.684856
2025-10-28T18:50:41.431,14.991791,41.032042,72.074973,106.547126,111.367662,100.793866,96.628791,52.342610
2025-10-28T18:50:41.436,16.862680,43.866341,67.519087,88.797901,84.270057,49.461364,12.625087,-36.850969
2025-10-28T18:50:41.440,18.033320,44.692745,64.365663,70.635860,32.774909,-8.345458,-62.363424,22.787007
2025-10-28T18:50:41.444,19.615358,50.790031,59.750191,38.483812,-15.070356,-42.109564,-5.877549,93.320410
2025-10-28T18:50:41.448,20.928759,46.818866,45.835082,6.314791,-23.634991,18.490660,89.054138,186.400359
2025-10-28T18:50:41.452,21.523852,44.105381,31.081912,-7.838633,-10.886626,59.868322,144.027201,173.703834
2025-10-28T18:50:41.456,23.296437,41.172780,16.031384,-12.070652,22.430870,132.596646,181.295486,82.731810
2025-10-28T18:50:41.459,23.895675,36.780603,3.170492,-8.639149,61.715286,159.595709,96.373139,-31.266601
2025-10-28T18:50:41.463,23.722270,28.317130,-11.007992,8.116767,106.011693,138.346956,3.169186,-29.108778
2025-10-28T18:50:41.468,24.098129,22.254315,-6.352826,34.429878,114.505048,71.416428,-9.734865,66.409473
2025-10-28T18:50:41.472,23.449117,14.636393,-15.366438,59.562373,113.823944,1.025924,-7.925235,171.123782
2025-10-28T18:50:41.476,23.350584,9.016297,1.222536,76.405210,80.597384,-10.503663,74.392728,216.836850
2025-10-28T18:50:41.479,22.920685,1.100087,8.941113,92.639638,38.365321,8.317715,176.791078,114.138401
2025-10-28T18:50:41.484,22.370922,-2.616893,24.044993,103.310303,0.393673,41.339840,155.301641,32.809301
2025-10-28T18:50:41.488,21.378504,-6.419065,38.849919,77.995409,-34.051443,90.300442,108.551175,-69.131049
